Wavelength,Average,Red,Green,Blue
843.5,0,0,0,0
844,0,0,0,0
844.6,0,0,0,0
845.1,0,0,0,0
845.7,0,0,0,0
846.2,0,0,0,0
846.7,0,0,0,0
847.3,0,0,0,0
847.8,0,0,0,0
848.4,0,0,0,0
848.9,0,0,0,0
849.4,0,0,0,0
850,0,0,0,0
850.5,0,0,0,0
851.1,0,0,0,0
851.6,0,0,0,0
852.1,0,0,0,0
852.7,0,0,0,0
853.2,0,0,0,0
853.8,0,0,0,0
854.3,0,0,0,0
854.8,0,0,0,0
855.4,0,0,0,0
855.9,0,0,0,0
856.5,0,0,0,0
857,0,0,0,0
857.5,0,0,0,0
858.1,0,0,0,0
858.6,0,0,0,0
859.2,0,0,0,0
859.7,0,0,0,0
860.2,0,0,0,0
860.8,0,0,0,0
861.3,0,0,0,0
861.9,0,0,0,0
862.4,0,0,0,0
862.9,0,0,0,0
863.5,0,0,0,0
864,0,0,0,0
864.6,0,0,0,0
865.1,0,0,0,0
865.6,0,0,0,0
866.2,0,0,0,0
866.7,0,0,0,0
867.3,0,0,0,0
867.8,0,0,0,0
868.3,0,0,0,0
868.9,0,0,0,0
869.4,0,0,0,0
870,0,0,0,0
870.5,0,0,0,0
871,0,0,0,0
871.6,0,0,0,0
872.1,0,0,0,0
872.7,0,0,0,0
873.2,0,0,0,0
873.7,0,0,0,0
874.3,0,0,0,0
874.8,0,0,0,0
875.4,0,0,0,0
875.9,0,0,0,0
876.4,0,0,0,0
877,0,0,0,0
877.5,0,0,0,0
878.1,0,0,0,0
878.6,0,0,0,0
879.1,0,0,0,0
879.7,0,0,0,0
880.2,0,0,0,0
880.8,0,0,0,0
881.3,0,0,0,0
881.8,0,0,0,0
882.4,0,0,0,0
882.9,0,0,0,0
883.5,0,0,0,0
884,0,0,0,0
884.5,0,0,0,0
885.1,0,0,0,0
885.6,0,0,0,0
886.2,0,0,0,0
886.7,0,0,0,0
887.2,0,0,0,0
887.8,0,0,0,0
888.3,0,0,0,0
888.9,0,0,0,0
889.4,0,0,0,0
889.9,0,0,0,0
890.5,0,0,0,0
891,0,0,0,0
891.6,0,0,0,0
892.1,0,0,0,0
892.6,0,0,0,0
893.2,0,0,0,0
893.7,0,0,0,0
894.3,0,0,0,0
894.8,0,0,0,0
895.3,0,0,0,0
895.9,0,0,0,0
896.4,0,0,0,0
897,0,0,0,0
897.5,0,0,0,0
898,0,0,0,0
898.6,0,0,0,0
899.1,0,0,0,0
899.7,0,0,0,0
900.2,0,0,0,0
900.7,0,0,0,0
901.3,0,0,0,0
901.8,0,0,0,0
902.4,0,0,0,0
902.9,0,0,0,0
903.4,0,0,0,0
904,0,0,0,0
904.5,0,0,0,0
905.1,0,0,0,0
905.6,0,0,0,0
906.1,0,0,0,0
906.7,0,0,0,0
907.2,0,0,0,0
907.8,0,0,0,0
908.3,0,0,0,0
908.8,0,0,0,0
909.4,0,0,0,0
909.9,0,0,0,0
910.5,0,0,0,0
911,0,0,0,0
911.5,0,0,0,0
912.1,0,0,0,0
912.6,0,0,0,0
913.2,0,0,0,0
913.7,0,0,0,0
914.2,0,0,0,0
914.8,0,0,0,0
915.3,0,0,0,0
915.9,0,0,0,0
916.4,0,0,0,0
916.9,0,0,0,0
917.5,0,0,0,0
918,0,0,0,0
918.6,0,0,0,0
919.1,0,0,0,0
919.6,0,0,0,0
920.2,0,0,0,0
